,BER bits
0,0.4015635
1,0.3618225
2,0.3614565
3,0.30901
4,0.3616715
5,0.308544
6,0.308627
7,0.239498
8,0.3614605
9,0.3084905
10,0.3089465
11,0.2403775
12,0.3092775
13,0.2405715
14,0.240196
15,0.158852
16,0.362223
17,0.3090455
18,0.308932
19,0.2408045
20,0.3092975
21,0.2404965
22,0.2405755
23,0.159119
24,0.3084655
25,0.240329
26,0.2406845
27,0.15899
28,0.240573
29,0.159371
30,0.159175
31,0.0789585
32,0.362791
33,0.3088885
34,0.3089395
35,0.2408675
36,0.3087245
37,0.2403125
38,0.2404455
39,0.159073
40,0.308995
41,0.240357
42,0.2401305
43,0.158734
44,0.239732
45,0.159761
46,0.1593685
47,0.079078
48,0.308076
49,0.2398965
50,0.240447
51,0.159144
52,0.2404155
53,0.1592335
54,0.159449
55,0.0793055
56,0.2405735
57,0.1595635
58,0.1595185
59,0.0789165
60,0.1592965
61,0.0788155
62,0.0789675
63,0.0229905
64,0.3622355
65,0.308647
66,0.3089305
67,0.2402135
68,0.309416
69,0.2406365
70,0.2404385
71,0.1590985
72,0.3090195
73,0.2400165
74,0.2402745
75,0.1593205
76,0.240104
77,0.159142
78,0.1592745
79,0.0793535
80,0.309023
81,0.240117
82,0.2407225
83,0.1591455
84,0.24005
85,0.159665
86,0.1590615
87,0.0790995
88,0.2397765
89,0.1594775
90,0.1593155
91,0.079181
92,0.1592825
93,0.079504
94,0.078635
95,0.02312
96,0.3091035
97,0.2406185
98,0.240752
99,0.159416
100,0.2400805
101,0.158974
102,0.1594165
103,0.078966
104,0.240075
105,0.1592185
106,0.1596505
107,0.0796275
108,0.1591225
109,0.0790185
110,0.0792435
111,0.0231885
112,0.2399955
113,0.159069
114,0.159284
115,0.0789035
116,0.158985
117,0.0794035
118,0.0792195
119,0.022771
120,0.159048
121,0.0792265
122,0.07881
123,0.0231005
124,0.079277
125,0.0230605
126,0.0230185
127,0.00239
