,BER bits
0,0.383786
1,0.3193695
2,0.31916
3,0.2369545
4,0.3195265
5,0.2365545
6,0.236212
7,0.1491975
8,0.3191655
9,0.2359645
10,0.2369455
11,0.1496695
12,0.2370705
13,0.1431875
14,0.14907
15,0.0662565
16,0.319287
17,0.250333
18,0.2361725
19,0.155656
20,0.250496
21,0.155735
22,0.1493635
23,0.069006
24,0.2363945
25,0.1489765
26,0.14287
27,0.06713
28,0.156336
29,0.0700735
30,0.069972
31,0.0182015
32,0.3193925
33,0.237074
34,0.2368635
35,0.1429375
36,0.2364545
37,0.1430045
38,0.1494685
39,0.068755
40,0.2368305
41,0.1429745
42,0.149102
43,0.066463
44,0.142807
45,0.0640685
46,0.0688785
47,0.0185925
48,0.237015
49,0.148936
50,0.143232
51,0.06382
52,0.1563145
53,0.071492
54,0.067207
55,0.0189385
56,0.1488745
57,0.0665095
58,0.0640375
59,0.01631
60,0.067402
61,0.018089
62,0.0182025
63,0.0022195
64,0.319237
65,0.2363695
66,0.2367595
67,0.142678
68,0.2368045
69,0.142682
70,0.142915
71,0.0639825
72,0.236384
73,0.1488945
74,0.1426205
75,0.0689125
76,0.142981
77,0.067203
78,0.06173
79,0.017873
80,0.2364695
81,0.1491065
82,0.14312
83,0.064085
84,0.1495815
85,0.066394
86,0.06431
87,0.016114
88,0.142836
89,0.066714
90,0.061798
91,0.017409
92,0.066336
93,0.0183175
94,0.0165375
95,0.002067
96,0.2364435
97,0.14312
98,0.1430925
99,0.062092
100,0.142309
101,0.059944
102,0.0615495
103,0.016063
104,0.142562
105,0.0640865
106,0.0665105
107,0.018617
108,0.063916
109,0.017019
110,0.0188805
111,0.0022185
112,0.142638
113,0.066552
114,0.0619195
115,0.0173525
116,0.063959
117,0.0180945
118,0.015789
119,0.0019325
120,0.061879
121,0.0168415
122,0.0165875
123,0.002039
124,0.0169255
125,0.0021775
126,0.002157
127,9.7e-05
