,BER bits
0,0.42087775
1,0.38965375
2,0.389575
3,0.3459595
4,0.3897715
5,0.3456305
6,0.346308
7,0.2875565
8,0.38969775
9,0.3461445
10,0.3458045
11,0.28751925
12,0.34569975
13,0.28775175
14,0.28790225
15,0.2143355
16,0.389345
17,0.345782
18,0.34571525
19,0.287821
20,0.34582775
21,0.28766875
22,0.28793025
23,0.21423925
24,0.345896
25,0.287442
26,0.287549
27,0.2142035
28,0.28737975
29,0.2140265
30,0.21412025
31,0.13112525
32,0.38981875
33,0.34620025
34,0.3459625
35,0.2875275
36,0.346265
37,0.2878995
38,0.28754125
39,0.21384
40,0.34592375
41,0.28745275
42,0.28737775
43,0.21402975
44,0.2878955
45,0.21428675
46,0.214018
47,0.1310325
48,0.34588375
49,0.28779625
50,0.28750025
51,0.213958
52,0.287692
53,0.21383825
54,0.21377825
55,0.13131475
56,0.28765875
57,0.214315
58,0.21395275
59,0.1310245
60,0.21393475
61,0.13129575
62,0.13123025
63,0.0564475
64,0.389658
65,0.34613225
66,0.34585375
67,0.287603
68,0.34569725
69,0.28770175
70,0.28724075
71,0.21406825
72,0.34616125
73,0.2877565
74,0.287766
75,0.21405725
76,0.287651
77,0.21425375
78,0.21419575
79,0.13157275
80,0.34592975
81,0.2875285
82,0.28802325
83,0.213854
84,0.2879125
85,0.21422925
86,0.2138845
87,0.1311765
88,0.28755075
89,0.21415375
90,0.2140705
91,0.13118
92,0.214042
93,0.13115775
94,0.13130475
95,0.05635575
96,0.3456715
97,0.28756625
98,0.2879905
99,0.21411
100,0.287637
101,0.214003
102,0.21368075
103,0.13120025
104,0.287375
105,0.21386225
106,0.2139925
107,0.13150175
108,0.21417075
109,0.13132975
110,0.131019
111,0.05645675
112,0.28768075
113,0.21381575
114,0.213761
115,0.13139375
116,0.213823
117,0.1310195
118,0.13116725
119,0.05659175
120,0.214042
121,0.131224
122,0.130901
123,0.05646875
124,0.13129775
125,0.056514
126,0.0565585
127,0.012512
