,BER bits
0,0.3354375
1,0.2800262
2,0.2799483
3,0.216327
4,0.2801105
5,0.2164041
6,0.2163633
7,0.1530042
8,0.2802762
9,0.2163307
10,0.2164369
11,0.1531057
12,0.2164209
13,0.1528396
14,0.1526572
15,0.104298
16,0.2803834
17,0.2162205
18,0.2162794
19,0.1529523
20,0.2163773
21,0.152862
22,0.1529211
23,0.1051761
24,0.216455
25,0.1530528
26,0.1527643
27,0.1055448
28,0.1533278
29,0.105639
30,0.1006187
31,0.1312189
32,0.2800739
33,0.2163738
34,0.2164856
35,0.1528319
36,0.216474
37,0.1529592
38,0.1526598
39,0.1048285
40,0.2161112
41,0.1527998
42,0.1526454
43,0.1054073
44,0.1527756
45,0.1051247
46,0.0999179
47,0.1312574
48,0.2168292
49,0.1535546
50,0.1535059
51,0.1057213
52,0.1533714
53,0.1051351
54,0.0998607
55,0.127776
56,0.1552316
57,0.1068412
58,0.100767
59,0.1206769
60,0.1026574
61,0.1099985
62,0.0632262
63,0.1119609
64,0.2810561
65,0.2194287
66,0.219427
67,0.1568574
68,0.2192411
69,0.1568587
70,0.1567699
71,0.1093083
72,0.2192821
73,0.156959
74,0.1569504
75,0.109711
76,0.1569209
77,0.1101045
78,0.1047708
79,0.1306905
80,0.2191026
81,0.1569581
82,0.1568513
83,0.1090038
84,0.1567292
85,0.1086965
86,0.1036291
87,0.1244846
88,0.1572572
89,0.1092565
90,0.1036496
91,0.1159312
92,0.1043774
93,0.104657
94,0.0644773
95,0.0935595
96,0.2184438
97,0.1603026
98,0.1604516
99,0.1148601
100,0.16055
101,0.1141467
102,0.1084733
103,0.1232893
104,0.1593825
105,0.1119278
106,0.1071094
107,0.1083235
108,0.1062959
109,0.097293
110,0.0660678
111,0.0769158
112,0.154322
113,0.1189309
114,0.109798
115,0.1082869
116,0.1068693
117,0.0852051
118,0.0671262
119,0.0628979
120,0.0976604
121,0.0916504
122,0.0671129
123,0.0517298
124,0.0567342
125,0.0437648
126,0.0310786
127,0.0167478
