,BER bits
0,6.70236
1,5.60077
2,5.58889
3,4.31706
4,5.60088
5,4.33496
6,4.32726
7,3.05792
8,5.61142
9,4.32859
10,4.32306
11,3.0648
12,4.33462
13,3.05795
14,3.05203
15,2.08157
16,5.61243
17,4.32612
18,4.32694
19,3.05562
20,4.32998
21,3.05216
22,3.05578
23,2.11058
24,4.32324
25,3.06584
26,3.05959
27,2.1073
28,3.06308
29,2.10933
30,2.0066
31,2.61825
32,5.59992
33,4.32671
34,4.32971
35,3.063
36,4.33166
37,3.03868
38,3.05511
39,2.09128
40,4.32319
41,3.058
42,3.05704
43,2.10763
44,3.05809
45,2.10504
46,2.00478
47,2.61561
48,4.32786
49,3.05386
50,3.06864
51,2.11714
52,3.06869
53,2.10316
54,1.99683
55,2.55999
56,3.09338
57,2.13965
58,2.01629
59,2.41743
60,2.05661
61,2.2114
62,1.26864
63,2.24362
64,5.61905
65,4.38858
66,4.39402
67,3.13213
68,4.39248
69,3.13811
70,3.14329
71,2.18269
72,4.38733
73,3.13111
74,3.13803
75,2.18844
76,3.13581
77,2.2048
78,2.08875
79,2.61599
80,4.3865
81,3.13849
82,3.13857
83,2.17118
84,3.13729
85,2.16804
86,2.07308
87,2.48768
88,3.1417
89,2.1926
90,2.06576
91,2.32578
92,2.07959
93,2.09113
94,1.28839
95,1.86844
96,4.35767
97,3.20164
98,3.20975
99,2.29059
100,3.19663
101,2.28236
102,2.16374
103,2.47025
104,3.18632
105,2.24129
106,2.13955
107,2.16678
108,2.12381
109,1.94607
110,1.31907
111,1.53462
112,3.08205
113,2.38167
114,2.19237
115,2.17219
116,2.13357
117,1.70661
118,1.34559
119,1.25625
120,1.94764
121,1.83574
122,1.33978
123,1.03171
124,1.1265
125,0.87303
126,0.61541
127,0.33573
