,BER bits
0,0.500174
1,0.49988375
2,0.50010775
3,0.499769
4,0.500224
5,0.4998855
6,0.50012325
7,0.50025175
8,0.500007
9,0.50016525
10,0.49987175
11,0.49988625
12,0.49971775
13,0.499642
14,0.49958825
15,0.499896
16,0.499811
17,0.4999075
18,0.4997825
19,0.4999305
20,0.499812
21,0.50007575
22,0.50002575
23,0.499542
24,0.5000855
25,0.5000635
26,0.50007525
27,0.4996315
28,0.49984025
29,0.4993435
30,0.499678
31,0.4697155
32,0.49991
33,0.4999565
34,0.49942
35,0.49963425
36,0.50031075
37,0.499943
38,0.50042375
39,0.49964675
40,0.499581
41,0.500238
42,0.500201
43,0.49951975
44,0.4996355
45,0.4988525
46,0.49878
47,0.45724275
48,0.50010325
49,0.49962625
50,0.50004775
51,0.4986165
52,0.49917125
53,0.49773625
54,0.4968815
55,0.44023275
56,0.50010275
57,0.495981
58,0.494168
59,0.41796375
60,0.490564
61,0.39284875
62,0.36690025
63,0.15971075
64,0.499632
65,0.49944725
66,0.500172
67,0.49969175
68,0.499782
69,0.499957
70,0.4999135
71,0.49838225
72,0.499795
73,0.49984175
74,0.50001875
75,0.497662
76,0.4996295
77,0.49674125
78,0.4948365
79,0.42567975
80,0.49978775
81,0.5002895
82,0.50013975
83,0.4955065
84,0.49991625
85,0.4933135
86,0.49038975
87,0.39745
88,0.4998985
89,0.48790675
90,0.482633
91,0.36319775
92,0.47335675
93,0.3267555
94,0.29133825
95,0.09397575
96,0.500347
97,0.5001795
98,0.5000855
99,0.48763525
100,0.4997805
101,0.48309925
102,0.4764845
103,0.3420175
104,0.49972025
105,0.4708715
106,0.460056
107,0.2965175
108,0.43950125
109,0.250729
110,0.21029525
111,0.0469535
112,0.49813075
113,0.44370075
114,0.423603
115,0.2272635
116,0.3901115
117,0.17818875
118,0.13984275
119,0.0206245
120,0.33499775
121,0.1230005
122,0.09040925
123,0.00891875
124,0.0601695
125,0.00416575
126,0.0023275
127,7e-06
128,0.4999655
129,0.50035725
130,0.5002065
131,0.49987175
132,0.499827
133,0.500443
134,0.500304
135,0.49347475
136,0.500054
137,0.49996975
138,0.500623
139,0.49032775
140,0.49958575
141,0.48584975
142,0.4806335
143,0.3556895
144,0.499753
145,0.499916
146,0.500114
147,0.48153125
148,0.49919225
149,0.4737155
150,0.46461475
151,0.3092755
152,0.4989715
153,0.4566865
154,0.4422015
155,0.258568
156,0.41486
157,0.21141025
158,0.171363
159,0.03110975
160,0.49961875
161,0.49917525
162,0.49875225
163,0.45990275
164,0.49777375
165,0.44372875
166,0.42611175
167,0.23225925
168,0.49414625
169,0.4120885
170,0.385977
171,0.177094
172,0.34339125
173,0.13124275
174,0.09774275
175,0.01039725
176,0.48307125
177,0.355364
178,0.31915075
179,0.11208525
180,0.2666165
181,0.07566425
182,0.05180875
183,0.0030395
184,0.20256775
185,0.042906
186,0.0277745
187,0.00094825
188,0.016534
189,0.00037325
190,0.0001905
191,0.0
192,0.49949975
193,0.49564175
194,0.49289875
195,0.4062925
196,0.48720125
197,0.37544775
198,0.34375975
199,0.13420075
200,0.47316925
201,0.32352925
202,0.28456
203,0.08705125
204,0.2313585
205,0.05599675
206,0.03715425
207,0.00162725
208,0.44047725
209,0.248244
210,0.20572425
211,0.0447615
212,0.1557355
213,0.025646
214,0.01583625
215,0.000347
216,0.106415
217,0.01232625
218,0.00730475
219,7.4e-05
220,0.00408925
221,2.15e-05
222,1.225e-05
223,0.0
224,0.37676525
225,0.16146325
226,0.124692
