,BER bits
0,0.398476
1,0.338723
2,0.338819
3,0.257463
4,0.33882
5,0.2583055
6,0.258189
7,0.1714035
8,0.338304
9,0.258189
10,0.258177
11,0.1709965
12,0.258311
13,0.1632715
14,0.171254
15,0.083215
16,0.3386825
17,0.2732935
18,0.2581775
19,0.1795635
20,0.273467
21,0.178779
22,0.170973
23,0.086453
24,0.2582215
25,0.1712715
26,0.1633965
27,0.084381
28,0.1790625
29,0.0877785
30,0.087669
31,0.0270425
32,0.338587
33,0.258633
34,0.257902
35,0.163509
36,0.257858
37,0.1635875
38,0.1705925
39,0.086138
40,0.257846
41,0.1637245
42,0.170414
43,0.0830645
44,0.1634835
45,0.080119
46,0.0866395
47,0.0273145
48,0.2584275
49,0.1708995
50,0.1636595
51,0.0805705
52,0.1789125
53,0.08961
54,0.0841325
55,0.0281175
56,0.1706395
57,0.083462
58,0.08044
59,0.0239835
60,0.084049
61,0.026605
62,0.0272765
63,0.0044605
64,0.3386465
65,0.258415
66,0.257987
67,0.1633655
68,0.2582705
69,0.1635245
70,0.1634945
71,0.080543
72,0.2576065
73,0.1712415
74,0.1633565
75,0.0865215
76,0.163355
77,0.0843215
78,0.077598
79,0.0267575
80,0.2578505
81,0.1711435
82,0.163573
83,0.0803525
84,0.17114
85,0.0830365
86,0.080163
87,0.023725
88,0.163665
89,0.083193
90,0.077332
91,0.02579
92,0.08294
93,0.0270205
94,0.024097
95,0.0042335
96,0.258338
97,0.1639105
98,0.163708
99,0.077198
100,0.1638455
101,0.0746565
102,0.077497
103,0.02383
104,0.1635
105,0.080215
106,0.0831385
107,0.027707
108,0.0799305
109,0.025016
110,0.0280095
111,0.004499
112,0.163629
113,0.0834545
114,0.077418
115,0.0258205
116,0.0806995
117,0.026536
118,0.023175
119,0.003843
120,0.0772155
121,0.024698
122,0.024624
123,0.0041685
124,0.0252615
125,0.0044125
126,0.004343
127,0.0003315
