,BER bits
0,0.499677
1,0.4993805
2,0.5001855
3,0.49974675
4,0.49990075
5,0.50003075
6,0.4997545
7,0.4965635
8,0.500655
9,0.49990825
10,0.499775
11,0.4940775
12,0.50001675
13,0.49301725
14,0.48925225
15,0.40567925
16,0.4997875
17,0.50021075
18,0.50002025
19,0.48872675
20,0.49980225
21,0.484658
22,0.4778795
23,0.363276
24,0.4995365
25,0.473548
26,0.46286675
27,0.3227005
28,0.445514
29,0.2863495
30,0.24505675
31,0.0762415
32,0.50025275
33,0.49945025
34,0.49912075
35,0.47479425
36,0.49812825
37,0.4660155
38,0.45223825
39,0.30052325
40,0.49555625
41,0.44377625
42,0.42325525
43,0.24981925
44,0.395824
45,0.20948675
46,0.1696105
47,0.0395705
48,0.4866305
49,0.398361
50,0.366795
51,0.17591075
52,0.32944025
53,0.13880375
54,0.1041715
55,0.01700525
56,0.26934775
57,0.09281
58,0.0650915
59,0.007992
60,0.04603925
61,0.004348
62,0.0023455
63,4e-05
64,0.4997655
65,0.4964335
66,0.49379525
67,0.432499
68,0.489908
69,0.4128865
70,0.38488625
71,0.197415
72,0.479659
73,0.37206475
74,0.3362295
75,0.1455865
76,0.29498675
77,0.1115235
78,0.0810045
79,0.0113285
80,0.45198075
81,0.30079725
82,0.259302
83,0.08641425
84,0.2155555
85,0.06108425
86,0.0411595
87,0.003862
88,0.15820375
89,0.0350435
90,0.02233125
91,0.00142475
92,0.01456725
93,0.00068975
94,0.0003545
95,2.5e-06
96,0.40327675
97,0.2173025
98,0.1753
99,0.04206875
100,0.13638475
101,0.02672
102,0.016673
103,0.00089525
104,0.0938505
105,0.013815
106,0.00825975
107,0.0002895
108,0.0052025
109,0.00013425
110,6.45e-05
111,0.0
112,0.05460175
113,0.00544175
114,0.00292725
115,6.35e-05
116,0.00195375
117,2.625e-05
118,1.525e-05
119,0.0
120,0.00103
121,1.125e-05
122,2.5e-06
123,0.0
124,2.5e-06
125,0.0
126,0.0
127,0.0
