,BER bits
0,0.5001215
1,0.500057
2,0.499952
3,0.49993325
4,0.49952375
5,0.4996405
6,0.5001645
7,0.49761325
8,0.49969825
9,0.500512
10,0.49983
11,0.49674075
12,0.499912
13,0.495004
14,0.49282075
15,0.41601975
16,0.49977
17,0.49965975
18,0.50010975
19,0.492986
20,0.49992375
21,0.4897215
22,0.48569025
23,0.38212975
24,0.49965725
25,0.48245475
26,0.474887
27,0.34482375
28,0.46154825
29,0.308017
30,0.270638
31,0.0859335
32,0.5001515
33,0.49964525
34,0.49971025
35,0.482921
36,0.4993265
37,0.476173
38,0.4669175
39,0.322515
40,0.498007
41,0.460216
42,0.444825
43,0.2751725
44,0.421049
45,0.23243175
46,0.19165875
47,0.04378125
48,0.49461675
49,0.42497575
50,0.400185
51,0.20379475
52,0.36386875
53,0.16016975
54,0.1238185
55,0.01924625
56,0.3063415
57,0.10923025
58,0.07943675
59,0.008741
60,0.054107
61,0.00441175
62,0.00239925
63,1.8e-05
64,0.500079
65,0.4986555
66,0.49794125
67,0.45258875
68,0.495711
69,0.4361855
70,0.4155165
71,0.225807
72,0.4906395
73,0.402291
74,0.3734685
75,0.17244025
76,0.33248725
77,0.13143225
78,0.09799875
79,0.0128835
80,0.475
81,0.3408805
82,0.30357725
83,0.108602
84,0.25496975
85,0.0757185
86,0.05227625
87,0.00422125
88,0.1939665
89,0.0442505
90,0.0288975
91,0.00151875
92,0.01826075
93,0.00066325
94,0.00033675
95,2.5e-07
96,0.4380235
97,0.256432
98,0.2146415
99,0.054193
100,0.16796
101,0.03386775
102,0.0215565
103,0.000879
104,0.11804675
105,0.01759675
106,0.01055725
107,0.00027725
108,0.00641225
109,0.000105
110,4.975e-05
111,2.5e-07
112,0.07273075
113,0.00734475
114,0.00416875
115,5.575e-05
116,0.002486
117,2.225e-05
118,1.15e-05
119,0.0
120,0.0013375
121,7.25e-06
122,2.5e-06
123,0.0
124,2e-06
125,0.0
126,0.0
127,0.0
