,BER bits
0,0.499616
1,0.499804
2,0.50008675
3,0.49999825
4,0.4999395
5,0.50005525
6,0.49950125
7,0.500298
8,0.4998625
9,0.50023775
10,0.50019025
11,0.50019475
12,0.50013925
13,0.4998925
14,0.50030175
15,0.4991065
16,0.499953
17,0.49970575
18,0.4999265
19,0.49988375
20,0.50013475
21,0.50017175
22,0.4999005
23,0.49901975
24,0.50012975
25,0.49996475
26,0.49994175
27,0.49798525
28,0.5003135
29,0.49727275
30,0.496641
31,0.4386865
32,0.50037575
33,0.499615
34,0.500109
35,0.500104
36,0.49973475
37,0.500256
38,0.499932
39,0.49714075
40,0.49958275
41,0.49998025
42,0.49975675
43,0.496336
44,0.4996005
45,0.4949075
46,0.49304375
47,0.414277
48,0.50014575
49,0.5000495
50,0.49983325
51,0.4932875
52,0.4998025
53,0.49018425
54,0.486862
55,0.383132
56,0.50008125
57,0.48391925
58,0.47796025
59,0.3469935
60,0.46669
61,0.3085125
62,0.272352
63,0.081372
64,0.5001575
65,0.499766
66,0.49981175
67,0.500201
68,0.499961
69,0.49992
70,0.49994775
71,0.49383025
72,0.5002055
73,0.49997575
74,0.49990525
75,0.490366
76,0.49990825
77,0.486357
78,0.481929
79,0.3618595
80,0.50023425
81,0.49966725
82,0.499519
83,0.48243275
84,0.4991445
85,0.476058
86,0.46738525
87,0.3178395
88,0.49824475
89,0.46076475
90,0.446905
91,0.2693485
92,0.42216925
93,0.2226715
94,0.182933
95,0.03584
96,0.500226
97,0.49960075
98,0.49877275
99,0.46309725
100,0.4981415
101,0.448723
102,0.4326045
103,0.244532
104,0.49530025
105,0.420227
106,0.39631775
107,0.189861
108,0.356133
109,0.14384575
110,0.10870425
111,0.0127445
112,0.48611675
113,0.36796125
114,0.33363675
115,0.124269
116,0.2831675
117,0.0857145
118,0.05990575
119,0.00408825
120,0.2189215
121,0.0501915
122,0.0332085
123,0.00132575
124,0.0199545
125,0.00053575
126,0.00028825
127,0.0
128,0.5002825
129,0.500087
130,0.4998915
131,0.49995275
132,0.49991625
133,0.49987625
134,0.499291
135,0.47916725
136,0.5002975
137,0.49887325
138,0.49963875
139,0.46998275
140,0.498482
141,0.458348
142,0.44572075
143,0.2690275
144,0.49991825
145,0.498326
146,0.49842775
147,0.44915325
148,0.4963675
149,0.430743
150,0.410088
151,0.20973
152,0.4912105
153,0.395077
154,0.36671625
155,0.1560975
156,0.32119925
157,0.113161
158,0.082338
159,0.007494
160,0.500221
161,0.49486575
162,0.4924625
163,0.40461625
164,0.486906
165,0.3735205
166,0.3419335
167,0.1328095
168,0.472625
169,0.32170575
170,0.28322125
171,0.086303
172,0.229548
173,0.0555905
174,0.03701525
175,0.00158075
176,0.43979675
177,0.2474345
178,0.2053815
179,0.04448575
180,0.1552985
181,0.02562725
182,0.01572925
183,0.0003135
184,0.10553275
185,0.01234725
186,0.00728325
187,7.8e-05
188,0.004037
189,2.475e-05
190,1.275e-05
191,0.0
192,0.49992425
193,0.480299
194,0.4711675
195,0.3213265
196,0.45346075
197,0.276449
198,0.2358165
199,0.05901675
200,0.418329
201,0.214545
202,0.17316675
203,0.03181025
204,0.1270335
205,0.01727575
206,0.010358
207,0.00015425
208,0.3584485
209,0.1438615
210,0.1087485
211,0.0128275
212,0.074481
213,0.0062745
214,0.0035575
215,1.95e-05
216,0.0463875
217,0.0026515
218,0.00143375
219,3.25e-06
220,0.0007625
221,1.25e-06
222,2.5e-07
223,0.0
224,0.2746025
225,0.080826
226,0.056436
227,0.003742
228,0.03607075
229,0.0016485
230,0.00089725
231,1.25e-06
232,0.02125975
233,0.000643
234,0.00033525
235,2.5e-07
236,0.00018075
237,0.0
238,0.0
239,0.0
240,0.0118395
241,0.00020675
242,0.000104
243,0.0
244,5.575e-05
245,0.0
246,2.5e-07
247,0.0
248,2.575e-05
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
