,BER bits
0,0.499749
1,0.50010375
2,0.49986275
3,0.50038875
4,0.500296
5,0.500037
6,0.50001025
7,0.4974765
8,0.49993925
9,0.499575
10,0.49957125
11,0.495717
12,0.49983725
13,0.4946175
14,0.49222075
15,0.4299195
16,0.500114
17,0.49973875
18,0.49987125
19,0.493551
20,0.50002475
21,0.49107725
22,0.48834925
23,0.41107975
24,0.4994275
25,0.48407275
26,0.478468
27,0.38003125
28,0.46883425
29,0.35201175
30,0.3227725
31,0.140352
32,0.499686
33,0.49949175
34,0.499309
35,0.48429975
36,0.4984565
37,0.47732825
38,0.4715645
39,0.358583
40,0.4968185
41,0.46349925
42,0.45300275
43,0.317209
44,0.43445425
45,0.2809455
46,0.248214
47,0.086196
48,0.49287525
49,0.441482
50,0.42615025
51,0.2678335
52,0.398333
53,0.227762
54,0.19557825
55,0.0569865
56,0.35298925
57,0.173487
58,0.14262975
59,0.03347975
60,0.10851175
61,0.0213585
62,0.014495
63,0.000894
64,0.500159
65,0.49700925
66,0.4966535
67,0.45979475
68,0.4938145
69,0.446624
70,0.431386
71,0.27593825
72,0.487948
73,0.41834525
74,0.39669725
75,0.22653275
76,0.36481075
77,0.18686825
78,0.1545935
79,0.03851275
80,0.47652075
81,0.37875175
82,0.352498
83,0.174042
84,0.31269125
85,0.13792475
86,0.1101475
87,0.022356
88,0.25800975
89,0.0945215
90,0.0722065
91,0.0113545
92,0.051294
93,0.00663075
94,0.00422525
95,0.00016
96,0.44666225
97,0.3029345
98,0.2700335
99,0.10265925
100,0.227085
101,0.0743085
102,0.0556285
103,0.00772175
104,0.1729885
105,0.04597375
106,0.0330295
107,0.00334375
108,0.02201925
109,0.00178975
110,0.00105675
111,2.325e-05
112,0.13027025
113,0.027831
114,0.01917225
115,0.00142525
116,0.012141
117,0.0007075
118,0.00040825
119,5.75e-06
120,0.00679275
121,0.00029175
122,0.000154
123,1e-06
124,9.75e-05
125,0.0
126,7.5e-07
127,0.0
128,0.499396
129,0.487335
130,0.48173
131,0.39499325
132,0.4730155
133,0.365658
134,0.33765
135,0.15770925
136,0.45268775
137,0.31794
138,0.28369275
139,0.11369925
140,0.242479
141,0.08352675
142,0.062915
143,0.009148
144,0.42303375
145,0.262206
146,0.22599425
147,0.07443375
148,0.184798
149,0.05166475
150,0.03714025
151,0.00408325
152,0.13540475
153,0.03052425
154,0.02101
155,0.00174575
156,0.01368375
157,0.00086125
158,0.0005155
159,9e-06
160,0.360277
161,0.176844
162,0.145297
163,0.03431825
164,0.111243
165,0.02179025
166,0.01486575
167,0.0010155
168,0.07536275
169,0.01135875
170,0.00751375
171,0.00037025
172,0.00467575
173,0.00017125
174,0.0001005
175,1e-06
176,0.05354525
177,0.0063435
178,0.003933
179,0.0001345
180,0.002345
181,6.15e-05
182,2.975e-05
183,0.0
184,0.00118725
185,1.85e-05
186,1.025e-05
187,0.0
188,6.25e-06
189,2.5e-07
190,0.0
191,0.0
192,0.28206225
193,0.1056785
194,0.07994025
195,0.0126425
196,0.05767925
197,0.007319
198,0.0045195
199,0.00017225
200,0.036223
201,0.00334975
202,0.00210575
203,5.925e-05
204,0.00127525
205,2.65e-05
206,1.3e-05
207,0.0
208,0.02405575
209,0.001656
210,0.00098525
211,1.325e-05
212,0.00059375
213,5e-06
214,4.25e-06
215,0.0
216,0.00028975
217,2e-06
218,1.75e-06
219,0.0
220,5e-07
221,0.0
222,0.0
223,0.0
224,0.01263425
225,0.00053275
226,0.000303
227,3.75e-06
228,0.00019325
229,1.25e-06
230,5e-07
231,0.0
232,9.45e-05
233,0.0
234,2.5e-07
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,6.425e-05
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
