,BER bits
0,0.500181
1,0.50005425
2,0.49998975
3,0.5001475
4,0.500004
5,0.5004715
6,0.49993725
7,0.4999805
8,0.4996065
9,0.50020875
10,0.4997885
11,0.50018275
12,0.500172
13,0.4999675
14,0.4999105
15,0.49866975
16,0.50016425
17,0.50038275
18,0.5000945
19,0.50011425
20,0.50001275
21,0.499822
22,0.4995675
23,0.497875
24,0.50034
25,0.499723
26,0.4999625
27,0.4966205
28,0.499727
29,0.49572025
30,0.49400325
31,0.434315
32,0.5001055
33,0.4997665
34,0.50006875
35,0.499855
36,0.499792
37,0.49963075
38,0.50037275
39,0.49626925
40,0.5000285
41,0.50004325
42,0.499963
43,0.493437
44,0.49979775
45,0.49139075
46,0.488037
47,0.4043545
48,0.50053
49,0.5000995
50,0.4993195
51,0.48946925
52,0.49926425
53,0.4849795
54,0.480093
55,0.37880925
56,0.49857375
57,0.4753005
58,0.4671215
59,0.34142125
60,0.45219775
61,0.30807875
62,0.274398
63,0.099571
64,0.49968225
65,0.499924
66,0.5000325
67,0.49972925
68,0.500211
69,0.4996845
70,0.499558
71,0.48909325
72,0.49962675
73,0.49945225
74,0.49935
75,0.4831995
76,0.498555
77,0.4771105
78,0.46947475
79,0.3462265
80,0.49933575
81,0.49906375
82,0.49853375
83,0.47400225
84,0.49726675
85,0.46469775
86,0.454082
87,0.31383375
88,0.494431
89,0.44470375
90,0.429217
91,0.2675875
92,0.40302925
93,0.22847675
94,0.19456475
95,0.05420825
96,0.50002275
97,0.49658275
98,0.4942115
99,0.44529025
100,0.49122425
101,0.42810375
102,0.40871625
103,0.23816025
104,0.4825605
105,0.3944005
106,0.36935275
107,0.1892415
108,0.332075
109,0.151725
110,0.12095975
111,0.025102
112,0.46643225
113,0.34765825
114,0.31717825
115,0.13751425
116,0.27480125
117,0.105301
118,0.08021475
119,0.012998
120,0.21886275
121,0.06854575
122,0.05027825
123,0.0062375
124,0.034245
125,0.00343
126,0.00204575
127,5.15e-05
128,0.499947
129,0.50000175
130,0.50010825
131,0.49912425
132,0.50010125
133,0.49859725
134,0.49753075
135,0.4641285
136,0.49992975
137,0.496613
138,0.49487325
139,0.448605
140,0.4917725
141,0.43068225
142,0.41253825
143,0.24219675
144,0.49964375
145,0.49356675
146,0.49009175
147,0.423202
148,0.484854
149,0.40160475
150,0.37862275
151,0.19926125
152,0.47137
153,0.36024325
154,0.33157075
155,0.15140525
156,0.2914135
157,0.11601925
158,0.0915135
159,0.0157955
160,0.49870775
161,0.4803145
162,0.47357775
163,0.36525725
164,0.46048275
165,0.33310175
166,0.30220625
167,0.126922
168,0.43358275
169,0.28050825
170,0.24744325
171,0.08832875
172,0.20534125
173,0.062513
174,0.04616475
175,0.00568075
176,0.39803075
177,0.2248435
178,0.19082
179,0.055329
180,0.15130575
181,0.03734725
182,0.0262205
183,0.00239375
184,0.107244
185,0.020831
186,0.0143405
187,0.00097025
188,0.009054
189,0.000478
190,0.00027375
191,4.75e-06
192,0.49499525
193,0.4481835
194,0.432958
195,0.2788135
196,0.407759
197,0.23896925
198,0.20526375
199,0.062869
200,0.36314025
201,0.18265875
202,0.15256975
203,0.03819925
204,0.116607
205,0.024088
206,0.016926
207,0.0012835
208,0.3137435
209,0.13389275
210,0.1064985
211,0.02086775
212,0.07931675
213,0.01292775
214,0.008529
215,0.0004865
216,0.05169
217,0.00636425
218,0.00432875
219,0.00016
220,0.00248
221,6.6e-05
222,4.225e-05
223,2.5e-07
224,0.23612525
225,0.07683175
226,0.057027
227,0.007619
228,0.04051525
229,0.00447175
230,0.00274925
231,9.125e-05
232,0.02460725
233,0.00197475
234,0.0012435
235,3.45e-05
236,0.000745
237,1.2e-05
238,7.75e-06
239,0.0
240,0.016322
241,0.000993
242,0.00054375
243,7.75e-06
244,0.0003315
245,2.25e-06
246,2.25e-06
247,0.0
248,0.00016575
249,1e-06
250,0.0
251,0.0
252,5e-07
253,0.0
254,0.0
255,0.0
