,BER bits
0,0.500146
1,0.500075
2,0.4996785
3,0.4999625
4,0.50008625
5,0.4998435
6,0.5004815
7,0.50024
8,0.4999765
9,0.50000025
10,0.50021275
11,0.49985625
12,0.49995875
13,0.4996865
14,0.49964675
15,0.48257625
16,0.49992275
17,0.50014825
18,0.4999815
19,0.5000195
20,0.499735
21,0.499262
22,0.49931975
23,0.47636
24,0.499941
25,0.4985695
26,0.49875775
27,0.4656225
28,0.4972975
29,0.45345925
30,0.44033375
31,0.2716575
32,0.50018025
33,0.499654
34,0.5004365
35,0.498697
36,0.49988975
37,0.49802
38,0.49779525
39,0.45634275
40,0.50006775
41,0.49732
42,0.4958005
43,0.43885725
44,0.49291275
45,0.41953725
46,0.39900775
47,0.2083935
48,0.5002525
49,0.49333225
50,0.49043325
51,0.40802325
52,0.48402475
53,0.3802135
54,0.353155
55,0.15693775
56,0.4698155
57,0.333619
58,0.29926425
59,0.110095
60,0.252644
61,0.07730675
62,0.056038
63,0.00523375
64,0.4998165
65,0.4999825
66,0.49991125
67,0.495723
68,0.5002615
69,0.49365225
70,0.4911865
71,0.4134295
72,0.49983225
73,0.489102
74,0.4847085
75,0.38261
76,0.47458
77,0.350674
78,0.31937325
79,0.12627425
80,0.499262
81,0.47713125
82,0.46888525
83,0.33447975
84,0.45184625
85,0.294683
86,0.25904875
87,0.082786
88,0.420529
89,0.237703
90,0.1997775
91,0.05045925
92,0.154831
93,0.031605
94,0.02082575
95,0.001052
96,0.49634575
97,0.44650325
98,0.42896575
99,0.25278225
100,0.3994095
101,0.20823075
102,0.1713655
103,0.038093
104,0.34996775
105,0.151905
106,0.119257
107,0.0199075
108,0.0858705
109,0.01122725
110,0.00685275
111,0.00017475
112,0.28762175
113,0.099958
114,0.074284
115,0.00872
116,0.0503665
117,0.00450875
118,0.00264825
119,3.725e-05
120,0.030708
121,0.0018825
122,0.00109525
123,1.225e-05
124,0.00059925
125,2e-06
126,2e-06
127,0.0
128,0.499967
129,0.49968125
130,0.49942325
131,0.48184975
132,0.49908425
133,0.47360025
134,0.46418925
135,0.32166475
136,0.49745625
137,0.4562545
138,0.441405
139,0.274523
140,0.41593325
141,0.230586
142,0.193631
143,0.0474385
144,0.493326
145,0.42361225
146,0.402002
147,0.2118905
148,0.365077
149,0.167902
150,0.13337325
151,0.024537
152,0.309798
153,0.11723375
154,0.0886225
155,0.01189625
156,0.06122825
157,0.00633275
158,0.00379175
159,6.45e-05
160,0.478185
161,0.35874425
162,0.3263245
163,0.1312545
164,0.27939575
165,0.094857
166,0.070316
167,0.00788425
168,0.2194485
169,0.05940675
170,0.041477
171,0.003263
172,0.02686475
173,0.00155125
174,0.0008905
175,6.5e-06
176,0.160781
177,0.0332615
178,0.022141
179,0.00112575
180,0.01367275
181,0.0005205
182,0.00027625
183,7.5e-07
184,0.007621
185,0.0001835
186,9.6e-05
187,0.0
188,5.3e-05
189,0.0
190,0.0
191,0.0
192,0.43910475
193,0.26607725
194,0.22759275
195,0.063602
196,0.18053225
197,0.041077
198,0.0277085
199,0.001629
200,0.12945775
201,0.02246125
202,0.01445725
203,0.00055525
204,0.0086645
205,0.00023425
206,0.00012875
207,5e-07
208,0.08765275
209,0.0112445
210,0.00698325
211,0.00016575
212,0.0040435
213,6.325e-05
214,3.375e-05
215,0.0
216,0.002151
217,1.85e-05
218,1.225e-05
219,0.0
220,6.5e-06
221,0.0
222,0.0
223,0.0
224,0.05119225
225,0.004281
226,0.002539
227,2.85e-05
228,0.00146475
229,9e-06
230,5.25e-06
231,0.0
232,0.0007475
233,1.75e-06
234,1.25e-06
235,0.0
236,7.5e-07
237,0.0
238,0.0
239,0.0
240,0.00043625
241,1.5e-06
242,7.5e-07
243,0.0
244,7.5e-07
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
