,BER bits
0,0.50054175
1,0.499863
2,0.4999735
3,0.49970525
4,0.50036425
5,0.50024625
6,0.499751
7,0.49993925
8,0.5000175
9,0.50023875
10,0.4999165
11,0.499903
12,0.5002525
13,0.49979525
14,0.499836
15,0.49907775
16,0.50021525
17,0.5001885
18,0.499477
19,0.49967225
20,0.50009125
21,0.5001375
22,0.4994505
23,0.49895175
24,0.50037975
25,0.50029075
26,0.499877
27,0.49777275
28,0.49989925
29,0.497239
30,0.49670575
31,0.451481
32,0.5000975
33,0.50038225
34,0.5002515
35,0.500048
36,0.499783
37,0.49999375
38,0.49983975
39,0.4974215
40,0.49996075
41,0.49992625
42,0.4999965
43,0.49626675
44,0.50015
45,0.49402025
46,0.492307
47,0.42689
48,0.50015025
49,0.49988
50,0.4992165
51,0.493467
52,0.499443
53,0.49091125
54,0.4871055
55,0.40714975
56,0.49895575
57,0.4834515
58,0.476657
59,0.37493475
60,0.466654
61,0.34745425
62,0.31640025
63,0.13570775
64,0.500455
65,0.49975225
66,0.500025
67,0.49969725
68,0.50005225
69,0.5003415
70,0.50003175
71,0.49302125
72,0.50006725
73,0.49948125
74,0.49957725
75,0.48925125
76,0.49904175
77,0.48422925
78,0.478671
79,0.376642
80,0.500066
81,0.49993375
82,0.498989
83,0.481913
84,0.49826575
85,0.47601725
86,0.46808875
87,0.35202175
88,0.49622975
89,0.459909
90,0.44898175
91,0.30935325
92,0.42855475
93,0.2739885
94,0.24151825
95,0.08324475
96,0.50023725
97,0.4974065
98,0.49659525
99,0.46062475
100,0.49419425
101,0.4471525
102,0.43214925
103,0.28112525
104,0.4878325
105,0.4206225
106,0.3998685
107,0.23338575
108,0.36871575
109,0.19491975
110,0.161968
111,0.0437565
112,0.476796
113,0.38201775
114,0.356105
115,0.180497
116,0.31830225
117,0.14668925
118,0.11670525
119,0.02609925
120,0.26460325
121,0.10263375
122,0.07875725
123,0.01398875
124,0.056849
125,0.00866925
126,0.0054435
127,0.00029725
128,0.49979225
129,0.499849
130,0.499882
131,0.49958725
132,0.49978275
133,0.49870425
134,0.49804875
135,0.4740455
136,0.49964
137,0.49728475
138,0.496615
139,0.46171225
140,0.4942695
141,0.447238
142,0.4329885
143,0.279532
144,0.49958775
145,0.495073
146,0.49308825
147,0.442193
148,0.4895455
149,0.4254675
150,0.40645875
151,0.24162175
152,0.47941975
153,0.390379
154,0.36668325
155,0.19262775
156,0.3309505
157,0.1552865
158,0.12804975
159,0.02957425
160,0.49941775
161,0.48562975
162,0.48089325
163,0.39354225
164,0.47060275
165,0.36601975
166,0.33842025
167,0.16570225
168,0.4495345
169,0.31863075
170,0.287263
171,0.12266725
172,0.24805675
173,0.09252325
174,0.0720475
175,0.01282375
176,0.4220555
177,0.268001
178,0.234405
179,0.08429975
180,0.19446775
181,0.06147
182,0.04519725
183,0.00655875
184,0.144774
185,0.03699625
186,0.02703925
187,0.0029915
188,0.01834625
189,0.00166375
190,0.0010455
191,3.175e-05
192,0.496113
193,0.461424
194,0.44886975
195,0.3150325
196,0.42834925
197,0.27892125
198,0.24629875
199,0.092093
200,0.3902605
201,0.22163825
202,0.19269225
203,0.06037075
204,0.15325125
205,0.040871
206,0.030466
207,0.00365
208,0.3484055
209,0.172934
210,0.14330925
211,0.03716325
212,0.1124485
213,0.02518775
214,0.017758
215,0.001779
216,0.0772725
217,0.0134875
218,0.009903
219,0.000738
220,0.0060165
221,0.000358
222,0.00022075
223,8.25e-06
224,0.27385425
225,0.10652625
226,0.0827415
227,0.01559575
228,0.06227675
229,0.0099655
230,0.0064665
231,0.0004645
232,0.03974225
233,0.00484775
234,0.0033065
235,0.00016525
236,0.002037
237,7.525e-05
238,4.7e-05
239,2.5e-07
240,0.0279715
241,0.00267775
242,0.0016925
243,6.45e-05
244,0.0011135
245,3.125e-05
246,1.675e-05
247,2.5e-07
248,0.000533
249,1.225e-05
250,8.25e-06
251,0.0
252,3.25e-06
253,0.0
254,0.0
255,0.0
